IATA,AIRPORT,CITY,STATE,LATITUDE,,,,,,Y-coordinate,LONGITUDE,,,,,,X-coordinate
PVD,Theodore F Green State,Providence,RI,41.72399917,-37.61900194,4.10499723,-4.9656,-20.38377425,465,444.6162258,-71.42822111,122.3748433,50.94662219,5.7618,293.5442477,320,613.5442477
RDU,Raleigh-Durham International,Raleigh,NC,35.87763889,-37.61900194,-1.74136305,-4.9656,8.646912361,465,473.6469124,-78.78747222,122.3748433,43.58737108,5.7618,251.1417147,320,571.1417147
RIC,Richmond International,Richmond,VA,37.50516667,-37.61900194,-0.11383527,-4.9656,0.565260417,465,465.5652604,-77.31966667,122.3748433,45.05517663,5.7618,259.5989167,320,579.5989167
RNO,Reno Tahoe International,Reno,NV,39.49857611,-37.61900194,1.87957417,-4.9656,-9.333213499,465,455.6667865,-119.7680647,122.3748433,2.6067786,5.7618,15.01973694,320,335.0197369
RSW,Southwest Florida International,Ft. Myers,FL,26.53616667,-37.61900194,-11.08283527,-4.9656,55.03292682,465,520.0329268,-81.75516667,122.3748433,40.61967663,5.7618,234.0424528,320,554.0424528
SAN,San Diego International-Lindbergh ,San Diego,CA,32.73355611,-37.61900194,-4.88544583,-4.9656,24.25916981,465,489.2591698,-117.1896567,122.3748433,5.1851866,5.7618,29.87600815,320,349.8760082
SAT,San Antonio International,San Antonio,TX,29.53369444,-37.61900194,-8.0853075,-4.9656,40.14840292,465,505.1484029,-98.46977778,122.3748433,23.90506552,5.7618,137.7362065,320,457.7362065
SDF,Louisville International-Standiford ,Louisville,KY,38.17438889,-37.61900194,0.55538695,-4.9656,-2.757829439,465,462.2421706,-85.736,122.3748433,36.6388433,5.7618,211.1056873,320,531.1056873
SEA,Seattle-Tacoma Intl,Seattle,WA,47.44898194,-37.61900194,9.82998,-4.9656,-48.81174869,465,416.1882513,-122.3093131,122.3748433,0.0655302,5.7618,0.377571906,320,320.3775719
SFO,San Francisco International,San Francisco,CA,37.61900194,-37.61900194,0,-4.9656,0,465,465,-122.3748433,122.3748433,0,5.7618,0,320,320
SJC,San Jose International,San Jose,CA,37.36186194,-37.61900194,-0.25714,-4.9656,1.276854384,465,466.2768544,-121.9290089,122.3748433,0.4458344,5.7618,2.568808646,320,322.5688086
SJU,Luis Munoz Marin International,San Juan,PR,18.43941667,-37.61900194,-19.17958527,-4.9656,95.23814862,465,560.2381486,-66.00183333,122.3748433,56.37300997,5.7618,324.8100088,320,644.8100088
SLC,Salt Lake City Intl,Salt Lake City,UT,40.78838778,-37.61900194,3.16938584,-4.9656,-15.73790233,465,449.2620977,-111.9777731,122.3748433,10.3970702,5.7618,59.90583908,320,379.9058391
SMF,Sacramento International,Sacramento,CA,38.69542167,-37.61900194,1.07641973,-4.9656,-5.345069811,465,459.6549302,-121.5907669,122.3748433,0.7840764,5.7618,4.517691402,320,324.5176914
SNA,John Wayne  Orange Co,Santa Ana,CA,33.67565861,-37.61900194,-3.94334333,-4.9656,19.58106564,465,484.5810656,-117.8682225,122.3748433,4.5066208,5.7618,25.96624773,320,345.9662477
STL,Lambert-St Louis International,St Louis,MO,38.74768694,-37.61900194,1.128685,-4.9656,-5.604598236,465,459.3954018,-90.35998972,122.3748433,32.01485358,5.7618,184.4631834,320,504.4631834
TPA,Tampa International ,Tampa,FL,27.97547222,-37.61900194,-9.64352972,-4.9656,47.88591118,465,512.8859112,-82.53325,122.3748433,39.8415933,5.7618,229.5592923,320,549.5592923
TUL,Tulsa International,Tulsa,OK,36.19837222,-37.61900194,-1.42062972,-4.9656,7.054278938,465,472.0542789,-95.88824167,122.3748433,26.48660163,5.7618,152.6105013,320,472.6105013
TUS,Tucson International,Tucson,AZ,32.11608333,-37.61900194,-5.50291861,-4.9656,27.32529265,465,492.3252926,-110.9410278,122.3748433,11.4338155,5.7618,65.87935815,320,385.8793581
ABE,Lehigh Valley International,Allentown,PA,40.65236278,-37.61900194,3.03336084,-4.9656,-15.06245659,465,449.9375434,-75.44040167,122.3748433,46.93444163,5.7618,270.4268658,320,590.4268658
ABI,Abilene Regional,Abilene,TX,32.41132,-37.61900194,-5.20768194,-4.9656,25.85926544,465,490.8592654,-99.68189722,122.3748433,22.69294608,5.7618,130.7522167,320,450.7522167
ABR,Aberdeen Regional,Aberdeen,SD,45.44905556,-37.61900194,7.83005362,-4.9656,-38.88091426,465,426.1190857,-98.42183333,122.3748433,23.95300997,5.7618,138.0124528,320,458.0124528
ABY,Southwest Georgia Regional,Albany,GA,31.535515,-37.61900194,-6.08348694,-4.9656,30.20816275,465,495.2081627,-84.19447333,122.3748433,38.18036997,5.7618,219.9876557,320,539.9876557
ACK,Nantucket Memorial,Nantucket,MA,41.25305194,-37.61900194,3.63405,-4.9656,-18.04523868,465,446.9547613,-70.06018139,122.3748433,52.31466191,5.7618,301.426619,320,621.426619
ACT,Waco Regional,Waco,TX,31.61128833,-37.61900194,-6.00771361,-4.9656,29.8319027,465,494.8319027,-97.23051917,122.3748433,25.14432413,5.7618,144.8765668,320,464.8765668
ACV,Arcata,Arcata Eureka,CA,40.97811528,-37.61900194,3.35911334,-4.9656,-16.6800132,465,448.3199868,-124.1086189,122.3748433,-1.7337756,5.7618,-9.989668252,320,310.0103317
ACY,Atlantic City International,Atlantic City,NJ,39.45758333,-37.61900194,1.83858139,-4.9656,-9.12965975,465,455.8703402,-74.57716667,122.3748433,47.79767663,5.7618,275.4006532,320,595.4006532
ADK,Adak,Adak,AK,51.87796389,-37.61900194,14.25896195,-4.9656,-70.80430146,465,375.1956985,-176.6460306,122.3748433,-54.2711873,5.7618,-312.699727,320,30.30027302
ADQ,Kodiak ,Kodiak,AK,57.74996778,-37.61900194,20.13096584,-4.9656,-99.96232398,465,325.037676,-152.4938553,122.3748433,-30.119012,5.7618,-173.5397233,320,165.4602767
AEX,Alexandria International,Alexandria,LA,31.32737167,-37.61900194,-6.29163027,-4.9656,31.24171927,465,496.2417193,-92.54855611,122.3748433,29.82628719,5.7618,171.8531015,320,491.8531015
AGS,Bush ,Augusta,GA,33.369955,-37.61900194,-4.24904694,-4.9656,21.09906749,465,486.0990675,-81.96449611,122.3748433,40.41034719,5.7618,232.8363384,320,552.8363384
AKN,King Salmon,King Salmon,AK,58.67680167,-37.61900194,21.05779973,-4.9656,-104.5646103,465,315.4353897,-156.6492175,122.3748433,-34.2743742,5.7618,-197.4820893,320,143.5179107
ALB,Albany Cty,Albany,NY,42.74811944,-37.61900194,5.1291175,-4.9656,-25.46914586,465,439.5308541,-73.80297861,122.3748433,48.57186469,5.7618,279.86137,320,599.86137
ALO,Waterloo Municipal,Waterloo,IA,42.55708139,-37.61900194,4.93807945,-4.9656,-24.52052732,465,440.4794727,-92.40034361,122.3748433,29.97449969,5.7618,172.7070723,320,492.7070723
AMA,Amarillo International,Amarillo,TX,35.2193725,-37.61900194,-2.39962944,-4.9656,11.91559995,465,476.9155999,-101.7059272,122.3748433,20.6689161,5.7618,119.0901608,320,439.0901608
